To,Location 1,Location 2,Location 3,From,Notes,Delivered Notes,Locker Number,Locker Bank,Carrier,Tracking #,Transaction Status ,Routed by,Routed Date Time,Stored Date Time,Delivered by,Delivered To,Delivered Date Time,Stored by,Origin City,Origin State,Origin Zip,Origin Country
,Civil,,,Beantown,,,,,UPS,1ZE381890359712422_,Delivered,,2/18/25 10:33,,,,2/18/25 14:05,,Hudson,NH,03051,US
,4312,,,,,,6.0,Bank 4,UPS,1Z1F94E3YW41654248_,Delivered,,,2/18/25 11:42,,,2/18/25 14:04,,Allentown,PA,18104,US
,4312,,,,,,6.0,Bank 4,UPS,1ZH93A820250104037_,Delivered,,,2/18/25 11:33,,,2/18/25 14:04,,Forney,TX,75126,US
,6550,,,,,,26.0,Bank 4,UPS,1ZB36G500369370481_,Delivered,,,2/18/25 11:40,,,2/18/25 14:03,,Bethlehem,PA,18015,US
,6399,,,USPS,,,49.0,Bank 1,USPS,9400111298194852792819_,Delivered,,,2/18/25 10:05,,,2/18/25 14:00,,Deer Park,NY,11729,US
,5460,,,USPS,,,59.0,Bank 8,USPS,9534612771675044431977_,Delivered,,,2/18/25 9:24,,,2/18/25 14:00,,Gambier,OH,43022,US
,RESIDENTIAL SERVICES,,,Lr,,,,,UPS,1Z0V069A0319991471_,Delivered,,2/18/25 10:46,,,,2/18/25 14:00,,Romeoville,IL,60446,US
,RESIDENTIAL SERVICES,,, Amazon,,,,,USPS,9488809000276106901589_,Delivered,,2/18/25 11:44,,,,2/18/25 14:00,,,,,US
,RESIDENTIAL SERVICES,,,Chwey,,,,,FedEx,444450317488_,Delivered,,2/18/25 11:49,,,,2/18/25 14:00,,Pittston,PA,,US
,2379,,,,,,56.0,Bank 8,FedEx,772047933779_,Delivered,,,2/17/25 12:44,,,2/18/25 13:59,,Vienna,VA,,US
,6191,,,Bambbu,Rack 1,Rack 1,,,UPS,1Z4400560391337660_,Delivered,,2/18/25 11:12,,,,2/18/25 13:57,,Perth Amboy,NJ,08861,US
,6191,,,Bambu,Rack 2,Rack 2,,,FedEx,772107138697_,Delivered,,2/18/25 12:12,,,,2/18/25 13:57,,Trenton,NJ,,US
,5662,,,USPS,,,52.0,Bank 1,USPS,LA539206874CA_,Delivered,,,2/18/25 10:09,,,2/18/25 13:56,,Toronto-A,,,US
,5214,,,,,,36.0,Bank 6,UPS,1Z109T8TYW43826364_,Delivered,,,2/18/25 11:17,,,2/18/25 13:55,,Millbury,MA,01527,US
,5844,,,,,,48.0,Bank 8,UPS,1ZK8R1500209664468_,Delivered,,,2/18/25 11:27,,,2/18/25 13:54,,Commack,NY,11725,US
,2758,,,,,,48.0,Bank 6,USPS,9488809000276106857596_,Delivered,,,2/18/25 12:41,,,2/18/25 13:54,,,,,US
,4837,,,,,,29.0,Bank 7,Amazon,TBA319463007801_,Delivered,,,2/18/25 12:05,,,2/18/25 13:54,,,,,
,3231,,,Ups,,,71.0,Bank 5,USPS,92612999944007581421117672_,Delivered,,,2/18/25 11:10,,,2/18/25 13:54,,,,,US
,5828,,,,,,25.0,Bank 7,USPS,9261290318409604848798_,Delivered,,,2/18/25 10:16,,,2/18/25 13:53,,Shrewsbury,MA,01546,US
,3496,,,,,,17.0,Bank 7,Amazon,TBA319470934575_,Delivered,,,2/18/25 12:16,,,2/18/25 13:52,,,,,
,3410,,,Fierio,Rack 1,Rack 1,,,UPS,1Z12625E0393198153_,Delivered,,2/18/25 11:07,,,,2/18/25 13:52,,Manchester,CT,06042,US
,5837,,,Ups,,,17.0,Bank 8,UPS,1ZV9320VYW45682586_,Delivered,,,2/18/25 11:33,,,2/18/25 13:49,,La Vergne,TN,37086,US
,1513,,, Amazon,,,30.0,Bank 6,Amazon,TBA319382127243_,Delivered,,,2/14/25 12:33,,,2/18/25 13:49,,,,,
,CIVIL & ENVIRONMENTAL ENGINEERING,,,Clauss Studios,,,,,USPS,9400111206206459981486_,Delivered,,2/18/25 9:43,,,,2/18/25 13:47,,Hesperia,CA,92345,US
,CIVIL & ENVIRONMENTAL ENGINEERING,,,Ups,,,,,UPS,1Z09V40Y0307750904_,Delivered,,2/18/25 10:45,,,,2/18/25 13:47,,Flowery Branch,GA,30542,US
,,,,,,,,,UPS,1Z4X98060392387291_,Delivered,,,,,,2/18/25 13:47,,Santa Ana,CA,92707,US
,2778,,,,,,2.0,Bank 6,USPS,9400136208070409360475_,Delivered,,,2/13/25 9:24,,,2/18/25 13:46,,Monmouth Beach,NJ,07750,US
,4702,,,USPS,,,53.0,Bank 1,USPS,9505515080204425113170_,Delivered,,,2/18/25 10:09,,,2/18/25 13:45,,Denver,CO,80266,US
,2093,,,,,,50.0,Bank 7,FedEx,285445498446_,Delivered,,,2/18/25 11:59,,,2/18/25 13:43,,,,,
,4364,,,,,,18.0,Bank 6,Amazon,TBA319415439261_,Delivered,,,2/18/25 12:21,,,2/18/25 13:43,,,,,
,4364,,,,,,18.0,Bank 6,Amazon,TBA319459011982_,Delivered,,,2/18/25 12:17,,,2/18/25 13:43,,,,,
,5391,,,,,,33.0,Bank 6,Amazon,TBA319472538023_,Stored,,,2/18/25 12:22,,,,,,,,
,4949,,,,,,51.0,Bank 6,Amazon,TBA319462945227_,Stored,,,2/18/25 12:21,,,,,,,,
,4603,,,,,,26.0,Bank 6,Amazon,TBA319464942682_,Stored,,,2/18/25 12:21,,,,,,,,
,4731,,,,,,50.0,Bank 6,Amazon,TBA319460659206_,Stored,,,2/18/25 12:20,,,,,,,,
,4603,,,,,,26.0,Bank 6,Amazon,TBA319462466571_,Stored,,,2/18/25 12:19,,,,,,,,
,2991,,,,,,25.0,Bank 6,Amazon,TBA319464584503_,Stored,,,2/18/25 12:18,,,,,,,,
,4492,,,,,,63.0,Bank 7,Amazon,TBA319464795060_,Stored,,,2/18/25 12:16,,,,,,,,
,5662,,,,,,7.0,Bank 7,FedEx,435013713760_,Stored,,,2/18/25 12:13,,,,,,,,
,4066,,,,,,1.0,Bank 4,FedEx,439595970315_,Stored,,,2/18/25 12:12,,,,,Groveport,OH,,US
,5423,,,,,,44.0,Bank 7,Amazon,TBA319462237276_,Stored,,,2/18/25 12:10,,,,,,,,
,6706,,,,,,78.0,Bank 7,Amazon,TBA319464639542_,Stored,,,2/18/25 12:08,,,,,,,,
,2022,,,,,,34.0,Bank 7,Amazon,TBA319460994634_,Stored,,,2/18/25 12:08,,,,,,,,
,3402,,,,,,31.0,Bank 7,FedEx,434669330180_,Stored,,,2/18/25 12:07,,,,,Conklin,NY,,US
,3366,,,,,,30.0,Bank 7,USPS,9261290986498160134006_,Stored,,,2/18/25 12:06,,,,,,,,US
,4157,,,,,,83.0,Bank 7,Amazon,TBA319464551597_,Stored,,,2/18/25 12:05,,,,,,,,
,5770,,,,,,51.0,Bank 7,Amazon,TBA319460651119_,Stored,,,2/18/25 12:02,,,,,,,,
,1592,,,,,,32.0,Bank 8,USPS,9261290980628033309330_,Stored,,,2/18/25 11:56,,,,,,,,US
,1018,,,,,,34.0,Bank 4,UPS,1ZR569370239499291_,Stored,,,2/18/25 11:46,,,,,Irving,TX,75063,US
,3696,,,Ups,,,27.0,Bank 7,UPS,1ZX320F41328363063_,Stored,,,2/18/25 11:39,,,,,Omaha,NE,68138,US
,5916,,,Ups,,,11.0,Bank 7,UPS,1Z24431Y0319099158_,Stored,,,2/18/25 11:37,,,,,Detroit,MI,48203,US
,4677,,,,,,17.0,Bank 4,UPS,1Z7V266F0393476124_,Stored,,,2/18/25 11:37,,,,,Kent,WA,98032,US
,3228,,,Pk,,,67.0,Bank 6,USPS,9400111206219545470283_,Stored,,,2/18/25 11:35,,,,,Skokie,IL,60077,US
,6671,,,Ups,,,50.0,Bank 8,UPS,1Z0V19E00348225235_,Stored,,,2/18/25 11:34,,,,,Manahawkin,NJ,08050,US
,6268,,,Ups,,,8.0,Bank 4,UPS,1Z49AA091288811111_,Stored,,,2/18/25 11:28,,,,,Tulsa,OK,74116,US
,5020,,,Ups,,,7.0,Bank 4,UPS,1Z0F48550313692244_,Stored,,,2/18/25 11:27,,,,,Charlotte,NC,28214,US
,5683,,,Ups,,,8.0,Bank 8,USPS,92612999952033581044137149_,Stored,,,2/18/25 11:25,,,,,,,,US
,5991,,,Ups,,,1.0,Bank 8,UPS,1ZY6805A0394798438_,Stored,,,2/18/25 11:23,,,,,Mountain View,CA,94040,US
,2291,,,,,,45.0,Bank 6,UPS,1Z9R33A40320148812_,Stored,,,2/18/25 11:20,,,,,Santa Ana,CA,92705,US
,4722,,,Ups,,,88.0,Bank 8,UPS,1ZA42Y430295471657_,Stored,,,2/18/25 11:18,,,,,Louisville,KY,40258,US
,5967,,,Ups,,,81.0,Bank 8,UPS,1ZKV77490318616280_,Stored,,,2/18/25 11:17,,,,,City Of Industry,CA,91745,US
,2533,,,Ups,,,79.0,Bank 8,UPS,1Z71EY050396783162_,Stored,,,2/18/25 11:16,,,,,Brooklyn,NY,11232,US
,5092,,,Ups,,,5.0,Bank 8,UPS,1Z0F57320316883102_,Stored,,,2/18/25 11:15,,,,,Goodyear,AZ,85338,US
,2872,,,,,,21.0,Bank 6,UPS,1Z5V61W0YW53399888_,Stored,,,2/18/25 11:13,,,,,Camp Hill,PA,17011,US
,5400,,,Ups,,,89.0,Bank 5,UPS,1Z0100830327926334_,Stored,,,2/18/25 11:12,,,,,Robbinsville,NJ,08691,US
,1046,,,Ups,,,76.0,Bank 5,UPS,1Z5F13W20332981543_,Stored,,,2/18/25 11:11,,,,,Moreland,GA,30259,US
,3402,,,Ups,,,82.0,Bank 5,UPS,1Z2V07890366049798_,Stored,,,2/18/25 11:11,,,,,Piscataway,NJ,08854,US
,3792,,,,,,15.0,Bank 6,UPS,1Z9234EW1315487614_,Stored,,,2/18/25 11:11,,,,,Rochester,NY,14653,US
,5976,,,Ups,,,11.0,Bank 5,UPS,1ZWC68570334331831_,Stored,,,2/18/25 11:08,,,,,Dunmore,PA,18512,US
,6533,,,,,,42.0,Bank 7,USPS,9488809000276106857619_,Stored,,,2/18/25 10:28,,,,,,,,US
,3376,,,,,,41.0,Bank 7,USPS,9361289725244398341679_,Stored,,,2/18/25 10:26,,,,,Worcester,MA,01613,US
,5780,,,USPS,,,25.0,Bank 1,USPS,92001903478422300134997049_,Stored,,,2/18/25 10:25,,,,,,,,US
,3563,,,,,,48.0,Bank 7,USPS,9261290318423101814193_,Stored,,,2/18/25 10:24,,,,,Shrewsbury,MA,01546,US
,6883,,,USPS,,,65.0,Bank 1,USPS,92144903627188220007858558_,Stored,,,2/18/25 10:24,,,,,Jamaica,NY,11430,US
,4652,,,USPS,,,20.0,Bank 1,USPS,9500114362335045749829_,Stored,,,2/18/25 10:23,,,,,Pelham,NH,03076,US
,3238,,,USPS,,,17.0,Bank 2,USPS,9500115989065046354491_,Stored,,,2/18/25 10:23,,,,,Vinalhaven,ME,04863,US
,1980,,,USPS,,,11.0,Bank 2,USPS,9261290278833973303566_,Stored,,,2/18/25 10:21,,,,,Shrewsbury,MA,01546,US
,6228,,,USPS,,,12.0,Bank 1,USPS,9261290278833972971919_,Stored,,,2/18/25 10:20,,,,,Shrewsbury,MA,01546,US
,5400,,,USPS,,,56.0,Bank 1,USPS,9400103699300067074033_,Stored,,,2/18/25 10:16,,,,,Minneapolis,MN,55431,US
,6792,,,USPS,,,9.0,Bank 1,USPS,9505514189265045752661_,Stored,,,2/18/25 10:14,,,,,Katonah,NY,10536,US
,5231,,,USPS,,,6.0,Bank 1,USPS,9405511206239204695126_,Stored,,,2/18/25 10:14,,,,,San Diego,CA,92121,US
,5001,,,USPS,,,56.0,Bank 2,USPS,9400111206206449922390_,Stored,,,2/18/25 10:12,,,,,Howell,NJ,07731,US
,1349,,,USPS,,,45.0,Bank 2,USPS,9400111899560921401204_,Stored,,,2/18/25 10:12,,,,,Monroe Township,NJ,08831,US
,5288,,,USPS,,,2.0,Bank 7,USPS,9361289725244375653887_,Stored,,,2/18/25 10:10,,,,,Worcester,MA,01613,US
,5253,,,USPS,,,4.0,Bank 2,USPS,92612903033819543475052652_,Stored,,,2/18/25 10:09,,,,,Shrewsbury,MA,01546,US
,2073,,,Card Kingdom,,,50.0,Bank 2,USPS,9400111206224426053141_,Stored,,,2/18/25 10:05,,,,,Monroe,WA,98272,US
,1435,,,USPS,,,48.0,Bank 1,USPS,9200190105190963188303_,Stored,,,2/18/25 10:04,,,,,Harrisburg,PA,17104,US
,2229,,,Greekgear,,,5.0,Bank 3,USPS,9434611206211702134733_,Stored,,,2/18/25 9:52,,,,,Belleville,IL,62220,US
,1204,,,Cube,,,17.0,Bank 6,USPS,9300110597204032653051_,Stored,,,2/18/25 9:50,,,,,Chandler,AZ,85224,US
,7011,,,Relz,,,4.0,Bank 6,USPS,92001903478422300138238582_,Stored,,,2/18/25 9:50,,,,,,,,US
,5409,,,Glick,,,88.0,Bank 5,USPS,9534612721685045809588_,Stored,,,2/18/25 9:49,,,,,Baltimore,MD,21209,US
,6071,,,USPS,,,49.0,Bank 7,USPS,9205590984172031102901_,Stored,,,2/18/25 9:46,,,,,Chelmsford,MA,01824,US
,1585,,,Shein,,,64.0,Bank 5,USPS,9261290339609015411595_,Stored,,,2/18/25 9:46,,,,,Shrewsbury,MA,01546,US
,1592,,,Center,,,63.0,Bank 5,USPS,9400111205538492477222_,Stored,,,2/18/25 9:46,,,,,Cranston,RI,02910,US
,7011,,,USPS,,,64.0,Bank 7,USPS,92001903478422300135458761_,Stored,,,2/18/25 9:45,,,,,,,,US
,5931,,, Amazon,,,86.0,Bank 5,USPS,9361289725244432916559_,Stored,,,2/18/25 9:44,,,,,Worcester,MA,01613,US
,7011,,,Izzy,,,45.0,Bank 5,USPS,92001903478422300135463796_,Stored,,,2/18/25 9:43,,,,,,,,US
,2980,,,Windsor,,,62.0,Bank 7,USPS,9400111105898824519763_,Stored,,,2/18/25 9:43,,,,,Santa Fe Springs,CA,90670,US
,1349,,,Macy,,,74.0,Bank 5,USPS,9200190118753491644136_,Stored,,,2/18/25 9:42,,,,,Martinsburg,WV,25403,US
,3729,,,Bigredbee,,,52.0,Bank 5,USPS,9405511206239208050921_,Stored,,,2/18/25 9:42,,,,,Lake Oswego,OR,97035,US
,6331,,,Sb,,,46.0,Bank 5,USPS,9400111105503473587680_,Stored,,,2/18/25 9:42,,,,,Elmwood Park,NJ,07407,US
,5719,,,Townsend,,,50.0,Bank 5,USPS,9505513360675044294608_,Stored,,,2/18/25 9:41,,,,,Laconia,NH,03246,US
,1476,,,Gap,,,27.0,Bank 5,USPS,92612999936556583037196184_,Stored,,,2/18/25 9:37,,,,,Shrewsbury,MA,01546,US
,2775,,,Visionworks,,,26.0,Bank 5,USPS,92001926729001077220112512_,Stored,,,2/18/25 9:37,,,,,Orlando,FL,32824,US
,5980,,,Legrande,,,73.0,Bank 5,USPS,9505511367775043181844_,Stored,,,2/18/25 9:36,,,,,Haleiwa,HI,96712,US
,5920,,,Manifestrx,,,20.0,Bank 5,USPS,92001903793557300000003538_,Stored,,,2/18/25 9:35,,,,,Greer,SC,29650,US
,2628,,,Yums,,,19.0,Bank 5,USPS,22479234690374346601660780_,Stored,,,2/18/25 9:34,,,,,,,,US
,5717,,,Yums,,,18.0,Bank 5,USPS,22479200190374346601174070_,Stored,,,2/18/25 9:31,,,,,,,,US
,4717,,,Formulate,,,86.0,Bank 8,USPS,9434636106092278459093_,Stored,,,2/18/25 9:30,,,,,Fenton,MO,63026,US
,7011,,,Tanner,,,45.0,Bank 5,USPS,92346903478422300037811536_,Stored,,,2/18/25 9:29,,,,,,,,US
,6264,,,Megan,,,43.0,Bank 5,USPS,9434611105503415791313_,Stored,,,2/18/25 9:28,,,,,Nashville,TN,37210,US
,5015,,,Walnut,,,36.0,Bank 5,USPS,9334620111450099130102_,Stored,,,2/18/25 9:28,,,,,Walnut,CA,91789,US
,6501,,,ROC1,,,84.0,Bank 8,USPS,9361289725244424299165_,Stored,,,2/18/25 9:26,,,,,Worcester,MA,01613,US
,3027,,,Stanton,,,31.0,Bank 5,USPS,9534616159965046411704_,Stored,,,2/18/25 9:26,,,,,Bridgeville,PA,15017,US
,5616,,,Home,,,77.0,Bank 8,USPS,9505513651415044473264_,Stored,,,2/18/25 9:23,,,,,Westport,CT,06880,US
,4881,,,Laura,,,23.0,Bank 5,USPS,9488809000276106857640_,Stored,,,2/18/25 9:17,,,,,,,,US
,5843,,,Breck,,,43.0,Bank 8,USPS,9488809000276106857657_,Stored,,,2/18/25 9:17,,,,,,,,US
,4694,,,Mom,,,8.0,Bank 5,USPS,9534613161665046371643_,Stored,,,2/18/25 9:14,,,,,Andover,NH,03216,US
,4677,,,USPS,,,25.0,Bank 8,USPS,9300120111412353969093_,Stored,,,2/18/25 9:12,,,,,Coppell,TX,75019,US
,5995,,,USPS,,,22.0,Bank 8,USPS,9434601699330006493845_,Stored,,,2/18/25 9:10,,,,,Sugar Land,TX,77498,US
,5020,,,USPD,,,10.0,Bank 8,USPS,22479214490342233005383656_,Stored,,,2/18/25 9:10,,,,,,,,US
,Robotics,,,Ups,,,,,UPS,1ZAC66040313352435_,Delivered,,2/18/25 10:43,,,,2/18/25 13:43,,Florence,NJ,08518,US
,Robotics,,,Ups,,,,,UPS,1Z9559370377655601_,Delivered,,2/18/25 10:43,,,,2/18/25 13:43,,Morgan Hill,CA,95037,US
,Robotics,,,Esu,,,,,FedEx,285404481110_,Delivered,,2/18/25 11:52,,,,2/18/25 13:43,,Mokena,IL,,US
,1326,,,,,,47.0,Bank 6,Amazon,TBA319471086729_,Delivered,,,2/18/25 12:17,,,2/18/25 13:43,,,,,
,BIOMEDICAL ENGINEERING,,,Orange Connex,,,,,USPS,92001902410401237130058994_,Delivered,,2/18/25 9:46,,,,2/18/25 13:42,,Flushing,NY,11351,US
,BIOMEDICAL ENGINEERING,,,Digi,,,,,UPS,1Z5674320224834787_,Delivered,,2/18/25 10:25,,,,2/18/25 13:42,,Thief River Falls,MN,56701,US
,4317,,,USPS,,,27.0,Bank 2,USPS,9334610597204043532897_,Delivered,,,2/18/25 10:25,,,2/18/25 13:42,,Saint Louis,MO,63102,US
,BIOMEDICAL ENGINEERING,,,Life,,,,,FedEx,444832268570_,Delivered,,2/18/25 11:48,,,,2/18/25 13:41,,Hagerstown,MD,,US
,BIOMEDICAL ENGINEERING,,,Rthermo,,,,,FedEx,444832256820_,Delivered,,2/18/25 11:49,,,,2/18/25 13:41,,Hagerstown,MD,,US
,4996,,,,,,9.0,Bank 8,Custom Item,701455b8-fdc4-486c-8c0d-51237a19b883_,Delivered,,,2/7/25 19:11,,,2/18/25 18:40,,,,,
,President's Office,,,Imcom Detroit,,,,,USPS,9234690220086374042771_,Delivered,,2/18/25 10:45,,,,2/18/25 13:38,,Warren,MI,48397,US
,Marketing and Communications,,,Bh,,,,,FedEx,442079865136_,Delivered,,2/18/25 11:47,,,,2/18/25 13:34,,Trenton,NJ,,US
,3913,,,,,,15.0,Bank 4,UPS,1Z02721A0316351187_,Delivered,,,2/18/25 11:39,,,2/18/25 13:30,,Millington,TN,38053,US
,6531,,,,,,55.0,Bank 6,Amazon,TBA319429353941_,Delivered,,,2/18/25 12:22,,,2/18/25 13:29,,,,,
,2061,,,,,,20.0,Bank 7,USPS,9234690355087920979249_,Delivered,,2/18/25 10:12,2/18/25 11:39,,,2/18/25 13:28,,Jamaica,NY,11434,US
,4174,,,,PERISHABLE! COME ASAP,PERISHABLE! COME ASAP,3.0,Bank 7,FedEx,433672670950_,Delivered,,,2/18/25 12:02,,,2/18/25 13:28,,,,,
,Career Development Center,,,Fed Ex,,,,,FedEx,285506208264_,Delivered,,2/18/25 12:16,,,,2/18/25 13:27,,Waukegan,IL,,US
,,,,,,,,,FedEx,285506212500_,Delivered,,,,,,2/18/25 13:27,,Waukegan,IL,,US
,4521,,,amazon,,,21.0,Bank 4,Amazon,TBA319340755195_,Delivered,,,2/12/25 13:05,,,2/18/25 13:25,,,,,
,3142,,,Fodzyme,,,5.0,Bank 7,USPS,9300110597204039981904_,Delivered,,,2/18/25 9:35,,,2/18/25 13:25,,Malden,MA,02148,US
,4521,,,Amazon,,,28.0,Bank 6,Amazon,TBA319311237243_,Delivered,,,2/13/25 14:41,,,2/18/25 13:25,,,,,
,1918,,,Thriftbooks,,,54.0,Bank 7,USPS,9241990288794603579756_,Delivered,,,2/18/25 9:40,,,2/18/25 13:24,,Shrewsbury,MA,01546,US
,6053,,,Amazon,,,51.0,Bank 8,Amazon,TBA319167514860_,Delivered,,,2/4/25 12:07,,,2/18/25 13:24,,,,,
,6053,,,,,,17.0,Bank 6,Amazon,TBA318941850098_,Delivered,,2/13/25 14:07,1/27/25 12:02,,,2/18/25 13:23,,,,,
,5570,,,Ups,,,7.0,Bank 8,UPS,1ZW8R8410345104068_,Delivered,,,2/18/25 11:24,,,2/18/25 13:23,,Dupont,WA,98327,US
,ARTS & SCI - ADMIN,,, Amazon,,,,,UPS,1ZG1937F0304072497_,Delivered,,2/18/25 10:41,,,,2/18/25 13:21,,Johnston,RI,02919,US
,HUA,,,Hal Leonard,,,,,Parcelforce,LA150054477NL_,Delivered,,2/18/25 9:46,,,,2/18/25 13:19,,,,,
,HUMANITIES & ARTS,,,,,,26.0,Bank 7,USPS,92001903470167300222100139_,Delivered,,2/18/25 11:37,2/18/25 10:17,,,2/18/25 13:19,,,,,US
,HUA,,,Jerico Turnpike,,,,,USPS,9300120111412364772514_,Delivered,,2/18/25 10:46,,,,2/18/25 13:19,,Mineola,NY,11501,US
,METAL PROCESSING INSTITUTE,,,Sigma,Goddard EHS,,,,FedEx,438633893653_,Delivered,,2/12/25 11:57,,,,2/18/25 13:19,,Northampton,PA,,US
,Manufacturing,,,Msc,,,,,UPS,1Z87V1190339651975_,Delivered,,2/18/25 10:45,,,,2/18/25 13:19,,Hartford,CT,06114,US
,METAL PROCESSING INSTITUTE,,,WB,,,,,FedEx,352553953921774_,Delivered,,2/18/25 11:07,,,,2/18/25 13:19,,,,,
,Manufacturing,,,Cole,,,,,FedEx,441626135759_,Delivered,,2/18/25 11:50,,,,2/18/25 13:19,,Grayslake,IL,,US
,Lab Manager MPI,,,Fedex,,,,,FedEx,285447730110_,Delivered,,2/18/25 11:56,,,,2/18/25 13:19,,Waukegan,IL,,US
,5657,,,,,,19.0,Bank 6,UPS,1ZJ223H11330585966_,Delivered,,,2/18/25 11:15,,,2/18/25 13:19,,New Orleans,LA,70121,US
,6649,,,USPS,,,35.0,Bank 8,USPS,ER134291441US_,Delivered,,,2/18/25 9:14,,,2/18/25 13:18,,Tennent,NJ,07763,US
,DIGS,,,Kleenex,,,,,UPS,1ZF5Y3330394948764_,Delivered,,2/18/25 10:32,,,,2/18/25 13:16,,Miami,FL,33126,US
,1613,,,Ups,Rack 1,Rack 1,,,UPS,1ZY267170325541861_,Delivered,,2/18/25 11:14,,,,2/18/25 13:16,,Dallas,TX,75244,US
,LIBRARY,,,Book,,,,,USPS,9488809000276299414446_,Delivered,,2/18/25 9:43,,,,2/18/25 13:15,,Wake Forest,NC,27587,US
,LIBRARY,,,Franklin Pierce,,,,,USPS,9488809000276144304601_,Delivered,,2/18/25 9:46,,,,2/18/25 13:15,,Rindge,NH,03461,US
,LIBRARY,,,Book,,,,,USPS,9114902200789647245141_,Delivered,,2/18/25 9:43,,,,2/18/25 13:15,,,,,US
,INFORMATION TECHNOLOGY,,,Dell,,,,,UPS,1Z7R88580351895293_,Delivered,,2/18/25 10:27,,,,2/18/25 13:11,,Middletown,PA,17057,US
,INFORMATION TECHNOLOGY,,,Comp,,,,,UPS,1Z5E5W924291951697_,Delivered,,2/18/25 10:30,,,,2/18/25 13:11,,Powhatan,VA,23139,US
,INFORMATION TECHNOLOGY,,,Dell,,,,,UPS,1Z7R88580351895195_,Delivered,,2/18/25 10:41,,,,2/18/25 13:11,,Middletown,PA,17057,US
,INFORMATION TECHNOLOGY,,,Dell,,,,,UPS,1Z42WA272943205243_,Delivered,,2/18/25 10:41,,,,2/18/25 13:11,,Houston,TX,77040,US
,INFORMATION TECHNOLOGY,,,Dell,,,,,FedEx,418444133328_,Delivered,,2/18/25 11:54,,,,2/18/25 13:11,,Newville,PA,,US
,INFORMATION TECHNOLOGY,,,Dell,,,,,FedEx,430308750599_,Delivered,,2/18/25 11:54,,,,2/18/25 13:11,,Chicago,IL,,US
,INFORMATION TECHNOLOGY,,,Dell,,,,,FedEx,430308750522_,Delivered,,2/18/25 11:54,,,,2/18/25 13:11,,Chicago,IL,,US
,INFORMATION TECHNOLOGY,,,Dell,,,,,FedEx,430308759530_,Delivered,,2/18/25 11:54,,,,2/18/25 13:11,,Chicago,IL,,US
,INFORMATION TECHNOLOGY,,,Dell,,,,,FedEx,430308727421_,Delivered,,2/18/25 11:54,,,,2/18/25 13:11,,Chicago,IL,,US
,6485,,,Gem,,,48.0,Bank 5,USPS,9300120111412357844631_,Delivered,,,2/18/25 9:39,,,2/18/25 13:10,,Cedar City,UT,84721,US
,COMPUTER SCIENCE,,, Amazon,,,,,UPS,1ZAC27840367261829_,Delivered,,2/18/25 10:42,,,,2/18/25 13:09,,Kansas City,KS,66102,US
,COMPUTER SCIENCE,,, Amazon,,,,,UPS,1Z6VV8620374833261_,Delivered,,2/18/25 10:42,,,,2/18/25 13:09,,Lawrenceville,GA,30043,US
,Computer Science,,,Ricko,,,,,UPS,1Z6VV8620375617332_,Delivered,,2/18/25 10:44,,,,2/18/25 13:09,,Lawrenceville,GA,30043,US
,COMPUTER SCIENCE,,,,,,,,Amazon,TBA319450560205_,Delivered,,2/18/25 12:24,,,,2/18/25 13:09,,,,,
,3934,,,USPS,,,51.0,Bank 1,USPS,9214490347125904236209_,Delivered,,,2/18/25 10:08,,,2/18/25 13:08,,Depew,NY,14043,US
,6041,,,China Post,,,47.0,Bank 1,Custom Item,LZ156413535CN_,Delivered,,,2/18/25 10:04,,,2/18/25 13:08,,,,,
,ACADEMIC TECHNOLOGY CENTER,,,Pc Con,,,,,UPS,1ZW69R180346341097_,Delivered,,2/18/25 10:48,,,,2/18/25 13:08,,Cranbury,NJ,08512,US
,5836,,,Shein,,,26.0,Bank 8,Speedx,SPX8YB056734797963_,Delivered,,,2/17/25 9:02,,,2/18/25 13:04,,,,,
,3401,,,Maribel Hernández Sojo,,,5.0,Bank 2,USPS,9500110336225046252459_,Delivered,,,2/18/25 10:17,,,2/18/25 13:03,,Guaynabo,PR,00969,US
,4230,,,,,,52.0,Bank 7,FedEx,436348271106_,Delivered,,,2/18/25 12:14,,,2/18/25 13:02,,Quincy,MA,,US
,2254,,,Lastmile,,,3.0,Bank 6,Purolator,021000000061_,Delivered,,,2/17/25 9:00,,,2/18/25 13:01,,,,,
,4797,,,,,,16.0,Bank 6,UPS,1Z6Y2A770389924006_,Delivered,,,2/18/25 11:11,,,2/18/25 13:01,,Freeport,ME,04034,US
,2086,,,Janssen,,,57.0,Bank 5,USPS,9505515900735045472972_,Delivered,,,2/18/25 9:30,,,2/18/25 13:01,,Redwood City,CA,94063,US
,,,, Amazon,,,,,Amazon,TBA319466573701_,Delivered,,2/18/25 11:42,,,,2/18/25 13:00,,,,,
,1241,,,Omni,,,,,UPS,1Z0X37V10317439446_,Delivered,,2/18/25 10:37,,,,2/18/25 13:00,,Penns Grove,NJ,08069,US
,AeroSpace,,,Apogee,,,,,USPS,9436236208235274434375_,Delivered,,2/18/25 9:41,,,,2/18/25 13:00,,Colorado Springs,CO,80918,US
,MECHANICAL ENGINEERING,,,Scratches Happen,,,,,USPS,9400111105503481515453_,Delivered,,2/18/25 9:43,,,,2/18/25 13:00,,Salt Lake City,UT,84123,US
,ME,,,USPS,,,40.0,Bank 7,USPS,9434911206211703533543_,Delivered,,2/18/25 11:37,2/18/25 10:26,,,2/18/25 13:00,,Stuart,FL,34997,US
